English,French
Go.,Va !
Go.,Marche.
Go.,En route !
Go.,Bouge !
Hi.,Salut !
Hi.,Salut.
Run!,Cours !
Run!,Courez !
Run!,Prenez vos jambes à vos cous !
Run!,File !
Run!,Filez !
Run!,Cours !
Run!,Fuyez !
Run!,Fuyons !
Run.,Cours !
Run.,Courez !
Run.,Prenez vos jambes à vos cous !
Run.,File !
Run.,Filez !
Run.,Cours !
Run.,Fuyez !
Run.,Fuyons !
Who?,Qui ?
Wow!,Ça alors !
Wow!,Waouh !
Wow!,Wah !
Duck!,À terre !
Duck!,Baisse-toi !
Duck!,Baissez-vous !
Fire!,Au feu !
Help!,À l'aide !
Hide.,Cache-toi.
Hide.,Cachez-vous.
Jump!,Saute.
Jump.,Saute.
Stop!,Ça suffit !
Stop!,Stop !
Stop!,Arrête-toi !
Wait!,Attends !
Wait!,Attendez !
Wait!,Attendez.
Wait.,Attends !
Wait.,Attendez !
Wait.,Attends.
Wait.,Attendez.
Begin.,Commencez.
Begin.,Commence.
Go on.,Poursuis.
Go on.,Continuez.
Go on.,Poursuivez.
Hello!,Bonjour !
Hello!,Salut !
Hello.,Bonjour !
Hello.,Salut !
Hello.,Bonjour.
Hello.,Salut.
I see.,Je comprends.
I see.,Aha.
I try.,J'essaye.
I won!,J'ai gagné !
I won!,Je l'ai emporté !
I won.,J’ai gagné.
Oh no!,Oh non !
Relax.,Calme-toi.
Relax.,Détends-toi !
Relax.,Détendez-vous !
Relax.,"Relaxe, Max !"
Relax.,"Cool, Raoul !"
Relax.,Du calme !
Relax.,Relaxe !
Relax.,Calmez-vous !
Relax.,Détends-toi.
Relax.,Détends-toi !
Relax.,Du calme.
Relax.,Tranquille.
Smile.,Souriez !
Smile.,Souris pour la caméra.
Smile.,Souriez !
Sorry?,Pardon ?
Attack!,Attaque !
Attack!,Attaquez !
Attack!,À l'attaque !
Attack!,À l'attaque !
Buy it.,Achetez-la !
Buy it.,Achète-le !
Buy it.,Achetez-le !
Buy it.,Achète-la !
Cheers!,Santé !
Cheers!,À votre santé !
Cheers!,Merci !
Cheers!,Tchin-tchin !
Eat it.,Mangez-le.
Eat it.,Mange-le.
Exhale.,Expire.
Get up.,Lève-toi.
Get up.,Lève-toi !
Get up.,Debout.
Go now.,"Va, maintenant."
Go now.,Allez-y maintenant.
Go now.,Vas-y maintenant.
Got it!,J'ai pigé !
Got it!,Compris !
Got it!,Aha !
Got it?,Pigé ?
Got it?,Compris ?
Got it?,T'as capté ?
Hop in.,Monte.
Hop in.,Montez.
Hug me.,Serre-moi dans tes bras !
Hug me.,Serrez-moi dans vos bras !
I fell.,Je suis tombée.
I fell.,Je suis tombé.
I fled.,J'ai fui.
I hunt.,Je chasse.
I knit.,Je tricote.
I know.,Je sais.
I left.,Je suis parti.
I left.,Je suis partie.
I lied.,J'ai menti.
I lost.,J'ai perdu.
I paid.,Je payais.
I paid.,Je payai.
I paid.,J’ai payé.
I pass.,Je passe.
I quit.,J'arrête.
I quit.,J'ai arrêté.
I swim.,Je nage.
I'm 19.,J'ai 19 ans.
I'm OK.,Je vais bien.
I'm OK.,Ça va.
Inhale.,Inspire.
Listen.,Écoutez !
No way!,C'est pas possible !
No way!,Impossible !
No way!,Hors de question !
No way!,En aucun cas.
No way!,Sans façons !
No way!,Mon œil !
No way!,C'est hors de question !
No way!,Il n'en est pas question !
No way!,C'est exclu !
No way!,En aucune manière !
No way!,Hors de question !
No way!,Sans blague !
Really?,Vraiment ?
Really?,Vrai ?
Really?,Ah bon ?
Really?,Ah vraiment ?
Really?,Vraiment ?
Thanks!,Merci !
Thanks.,Je te remercie.
Thanks.,Merci !
Thanks.,Merci.
Try it.,Essaie.
Try it.,Essayez.
Try it.,Essaye.
We try.,On essaye.
We won.,Nous avons gagné.
We won.,Nous gagnâmes.
We won.,Nous l'avons emporté.
We won.,Nous l'emportâmes.
We won.,On a gagné.
Ask Tom.,Demande à Tom.
Ask him.,Demande-lui.
Awesome!,Fantastique !
Awesome!,Sensass !
Awesome!,Trop cool !
Awesome.,Génial.
Be calm.,Sois calme !
Be calm.,Soyez calme !
Be calm.,Soyez calmes !
Be cool.,Sois détendu !
Be fair.,Sois juste !
Be fair.,Soyez juste !
Be fair.,Soyez justes !
Be fair.,Sois équitable !
Be fair.,Soyez équitable !
Be fair.,Soyez équitables !
Be fair.,Sois honnête.
Be fair.,Sois sincère.
Be fair.,Soyez honnêtes.
Be kind.,Sois gentil.
Be nice.,Sois gentil !
Be nice.,Sois gentille !
Be nice.,Soyez gentil !
Be nice.,Soyez gentille !
Be nice.,Soyez gentils !
Be nice.,Soyez gentilles !
Beat it!,Cassez-vous !
Beat it.,Va te faire foutre !
Beat it.,Dégage !
Beat it.,Casse-toi.
Beat it.,Pars !
Beat it.,Foutez le camp !
Beat it.,Fous le camp !
Beat it.,Pars d'ici.
Beat it.,Va-t’en !
Beat it.,Disparais !
Beat it.,Fiche le camp.
Beat it.,Tire-toi de là.
Beat it.,Casse-toi de là.
Beat it.,Oust !
Beat it.,Dégage.
Beat it.,Fiche le camp d'ici.
Beat it.,Déguerpissez.
Beat it.,Bouge !
Beat it.,Décampe !
Burn it.,Brûlez-le.
Burn it.,Brûlez-la.
Burn it.,Brûle-la.
Burn it.,Brûle-le.
Bury it.,Enterrez-le.
Bury it.,Enterre-le.
Bury it.,Enterrez-la.
Bury it.,Enterre-la.
Call me.,Appelle-moi !
Call me.,Appelez-moi !
Call us.,Appelle-nous !
Call us.,Appelez-nous !
Come in.,Entrez !
Come in.,Entre.
Come in.,Entre !
Come in.,Entrez !
Come on!,Allez !
Come on!,En avant !
Come on!,Allons !
Come on!,"C'est pas vrai, dis !"
Come on!,Viens !
Come on!,Venez !
Come on!,Secouez-vous !
Come on!,Secoue-toi !
Come on!,"Allez, on y va !"
Come on.,Allez !
Come on.,Viens !
Come on.,Venez !
Drop it!,Laisse tomber !
Drop it!,Laissez tomber !
Drop it!,Laisse-le tomber !
Drop it!,Laissez-le tomber !
Fold it.,Pliez-le.
Fold it.,Plie-le.
Fold it.,Pliez-la.
Fold it.,Plie-la.
Get Tom.,Va chercher Tom.
Get out!,Sors.
Get out!,Sortez !
Get out!,Dégage !
Get out!,Disparais !
Get out!,Casse-toi.
Get out!,Dégagez !
Get out!,Sors !
Get out!,Sortez !
Get out!,Dégage !
Get out!,Disparais !
Get out!,Du balai !
Get out!,Fiche le camp.
Get out!,Oust !
Get out!,Vers l'extérieur !
Get out!,Fichez le camp !
Get out!,Sortez.
Get out!,Décampez !
Get out!,Décampe !
Get out.,Sors.
Get out.,Sortez !
Get out.,Dégage !
Get out.,Disparais !
Get out.,Casse-toi.
Get out.,Dégagez !
Get out.,Sors !
Get out.,Sortez !
Get out.,Disparais !
Get out.,Fiche le camp.
Get out.,Oust !
Get out.,Sortez.
Get out.,Bouge !
Get out.,Décampez !
Get out.,Décampe !
Go away!,Dégage !
Go away!,Pars !
Go away!,Allez-vous-en !
Go away!,Déguerpissez.
Go away!,Cassez-vous.
Go away!,Bouge !
Go away!,Décampez !
